#		Tactex Controls Inc.
#		   Copyright 1998
#	   www.tactex.com tci@tactex.com
#
# alex's tuesday morning file
#
#	Touch Tablet Mapping File
#
#	x_index	y_index	x_coord	y_coord
#
# LED 1,	Photodiodes 1-8
#
	3	11	100.0	68.6
 5	7	60.0	45.8
	7	3	20.0	22.9
	10	1	120.0	0.0
	7	2	10.0	21.5
	5	6	50.0	44.3
	3	10	90.0	67.3
	1	14	130.0	90.1	
#
# LED 2,	Photodiodes 1-8
#
	3	13	120.0	70.1
	5	9	80.0	47.2
	7	5	40.0	24.3
	9	1	0.0	1.4
	8	14	130.0	20.0
	5	4	30.0	42.9
	3	8	70.0	65.8
	1	12	110.0	88.7
#
# LED 3,	Photodiodes 1-8
#
	2	1	0.0	71.5
	5	11	100.0	48.6
	7	7	60.0	25.7
	9	3	20.0	2.9
	8	12	110.0	18.6
	5	2	10.0	41.5
	3	6	50.0	64.4
	1	10	90.0	87.2
#
# LED 4,	Photodiodes 1-8
#
	2	3	20.0	72.9
	5	13	120.0	50.1
	7	9	80.0	27.2
	9	5	40.0	4.3
	8	10	90.0	17.2
	6	14	130.0	40.0
	3	4	30.0	62.9
	1	8	70.0	85.8
#
# LED 5,	Photodiodes 1-8
#
	2	5	40.0	74.4
	4	1	0.0	51.5
	7	11	100.0	28.6
	9	7	60.0	5.7
	8	8	70.0	15.7
	6	12	110.0	38.6
	3	2	10.0	61.5
	1	6	50.0	84.4
#
# LED 6,	Photodiodes 1-8
#
	2	7	60.0	75.8
	4	3	20.0	52.9
	7	13	120.0	30.0
	9	9	80.0	7.2
	8	6	50.0	14.3
	6	10	90.0	37.2
	4	14	130.0	60.1
	1	4	30.0	82.9
#
# LED 7,	Photodiodes 1-8
#
	2	9	80.0	77.2
	4	5	40.0	54.3
	6	1	0.0	31.5
	9	11	100.0	8.6
	8	4	30.0	12.9
	6	8	70.0	35.8
	4	12	110.0	58.6
	1	2	10.0	81.5
#
# LED 8,	Photodiodes 1-8
#
	2	11	100.0	78.7
	4	7	60.0	55.8
	6	3	20.0	32.9
	9	13	120.0	10.0
	8	2	10.0	11.4
	6	6	50.0	34.3
	4	10	90.0	57.2
	2	14	130.0	80.1
#
# LED 9,	Photodiodes 1-8
#
	2	13	120.0	80.1
	4	9	80.0	57.2
	6	5	40.0	34.3
	8	1	0.0	11.4
	9	14	130.0	10.0
	6	4	30.0	32.9
	4	8	70.0	55.8
	2	12	110.0	78.7
#
# LED 10,	Photodiodes 1-8
#
	1	1	0.0	81.5
	4	11	100.0	58.6
	6	7	60.0	35.8
	8	3	20.0	12.9
	9	12	110.0	8.6
	6	2	10.0	31.5
	4	6	50.0	54.3
	2	10	90.0	77.2
#
# LED 11,	Photodiodes 1-8
#
	1	3	20.0	82.9
	4	13	120.0	60.1
	6	9	80.0	37.2
	8	5	40.0	14.3
	9	10	90.0	7.2
	7	14	130.0	30.0
	4	4	30.0	52.9
	2	8	70.0	75.8
#
# LED 12,	Photodiodes 1-8
#
	1	5	40.0	84.4
	3	1	0.0	61.5
	6	11	100.0	38.6
	8	7	60.0	15.7
	9	8	70.0	5.7
	7	12	110.0	28.6
	4	2	10.0	51.5
	2	6	50.0	74.4
#
# LED 13,	Photodiodes 1-8
#
	1	7	60.0	85.8
	3	3	20.0	62.9
	6	13	120.0	40.0
	8	9	80.0	17.2
	9	6	50.0	4.3
	7	10	90.0	27.2
	5	14	130.0	50.1
	2	4	30.0	72.9
#
# LED 14,	Photodiodes 1-8
#
	1	9	80.0	87.2
	3	5	40.0	64.4
	5	1	0.0	41.5
	8	11	100.0	18.6
	9	4	30.0	2.9
	7	8	70.0	25.7
	5	12	110.0	48.6
	2	2	10.0	71.5
#
# LED 15,	Photodiodes 1-8
#
	1	11	100.0	88.7
	3	7	60.0	65.8
	5	3	20.0	42.9
	8	13	120.0	20.0
	9	2	10.0	1.4
	7	6	50.0	24.3
	5	10	90.0	47.2
	3	14	130.0	70.1
#
# LED 16,	Photodiodes 1-8
#
	1	13	120.0	90.1
	3	9	80.0	67.2
	5	5	40.0	44.3
	7	1	0.0	21.5
10	2	130.0	0.0
	7	4	30.0	22.9
	5	8	70.0	45.8
	3	12	110.0	68.6
	5	8	70.0	45.8
	3	12	110.0	68.6
