#		Tactex Controls Inc.
#		   Copyright 1998
#	   www.tactex.com tci@tactex.com
#
#	Touch Tablet Normalization File
#
#	Jul 22 1999 16:58:53
#
#	Min	Scale
	135	5.543478
	72	5.930233
	115	2.965116
	193	5.425532
	55	2.056452
	33	2.802198
	25	1.473988
	20	1.902985
	4	2.198276
	8	1.946565
	4	1.385870
	4	3.923077
	190	3.923077
	7	31.875000
	13	1.356383
	14	1.946565
	3	5.543478
	8	3.642857
	4	4.811321
	3	18.214285
	1	9.444445
	8	2.236842
	11	2.741935
	8	3.269231
	6	4.180328
	3	5.795455
	5	2.524752
	4	4.180328
	2	9.807693
	3	3.109756
	14	2.107438
	7	1.536145
	7	3.269231
	7	1.314433
	12	8.793103
	16	1.554878
	7	1.946565
	13	1.294416
	1	5.795455
	13	1.634615
	3	7.727273
	3	5.000000
	5	2.931035
	4	4.553571
	5	11.590909
	8	1.770833
	5	1.526946
	18	1.666667
	3	3.187500
	9	2.931035
	2	3.923077
	20	2.142857
	13	17.000000
	192	4.322034
	5	1.961538
	16	1.256158
	7	3.445946
	5	3.493151
	5	2.965116
	5	4.553571
	15	3.923077
	9	1.500000
	110	2.602041
	3	5.312500
	2	2.575758
	10	3.445946
	7	1.363636
	10	1.180556
	3	3.984375
	5	10.200000
	3	8.225806
	7	2.179487
	2	1.931818
	5	4.112903
	12	4.903846
	7	2.023809
	1	10.200000
	10	2.073171
	3	5.543478
	7	3.445946
	2	3.187500
	2	4.112903
	10	3.445946
	5	4.112903
	2	7.727273
	4	3.984375
	46	12.142858
	4	7.968750
	7	1.473988
	9	1.795775
	3	2.142857
	11	12.750000
	7	1.268657
	4	3.695652
	2	7.500000
	5	4.047619
	3	1.688742
	63	12.142858
	8	1.500000
	13	6.219512
	5	2.656250
	8	1.861314
	4	2.023809
	8	2.550000
	4	2.361111
	5	4.722222
	193	4.112903
	4	7.500000
	2	10.200000
	11	2.524752
	9	1.758621
	5	6.071429
	10	3.541667
	95	6.891892
	33	1.517857
	11	1.645161
	0	18.214285
	45	2.056452
	2	8.500000
	5	4.553571
	2	8.500000
	7	4.047619
	7	8.793103
	9	1.231884
	6	3.400000
	7	3.923077
	2	4.811321
	10	5.425532
